"enzyme.1","high.credit.status","species"
94,TRUE,"Hedgehog"
102,TRUE,"Aardvark"
92,TRUE,"Armadillo"
116,TRUE,"Armadillo"
103,TRUE,"Armadillo"
92,TRUE,"Platypus"
105,TRUE,"Aardvark"
107,TRUE,"Platypus"
106,TRUE,"Aardvark"
97,TRUE,"Armadillo"
115,FALSE,"Aardvark"
104,TRUE,"Aardvark"
94,FALSE,"Platypus"
78,FALSE,"Hedgehog"
111,FALSE,"Armadillo"
100,TRUE,"Armadillo"
NA,TRUE,"Aardvark"
109,FALSE,"Armadillo"
108,FALSE,"Platypus"
106,TRUE,"Hedgehog"
109,TRUE,"Hedgehog"
108,TRUE,"Armadillo"
101,TRUE,"Armadillo"
80,TRUE,"Platypus"
106,FALSE,"Platypus"
99,TRUE,"Platypus"
98,TRUE,"Platypus"
85,TRUE,"Platypus"
95,TRUE,"Armadillo"
104,FALSE,"Platypus"
114,TRUE,"Platypus"
99,TRUE,"Armadillo"
104,TRUE,"Armadillo"
99,TRUE,"Platypus"
86,TRUE,"Aardvark"
96,TRUE,"Armadillo"
96,TRUE,"Armadillo"
99,TRUE,"Aardvark"
111,TRUE,"Hedgehog"
108,TRUE,"Platypus"
98,TRUE,"Platypus"
97,TRUE,"Aardvark"
107,FALSE,"Hedgehog"
106,TRUE,"Armadillo"
93,TRUE,"Hedgehog"
93,TRUE,"Armadillo"
104,TRUE,"Armadillo"
108,TRUE,"Aardvark"
99,TRUE,"Armadillo"
109,FALSE,"Hedgehog"
104,FALSE,"Armadillo"
94,FALSE,"Aardvark"
103,TRUE,"Platypus"
89,TRUE,"TRUE"
114,TRUE,"Platypus"
120,TRUE,"Armadillo"
96,TRUE,"Platypus"
90,TRUE,"Aardvark"
106,TRUE,"Platypus"
99,FALSE,"Armadillo"
124,TRUE,"Aardvark"
NA,TRUE,"Armadillo"
107,TRUE,"Platypus"
100,FALSE,"Armadillo"
93,TRUE,"Hedgehog"
102,TRUE,"Platypus"
82,TRUE,"Aardvark"
115,FALSE,"Hedgehog"
102,TRUE,"Hedgehog"
122,TRUE,"Armadillo"
105,TRUE,"Armadillo"
93,TRUE,"Hedgehog"
106,TRUE,"Platypus"
91,TRUE,"Aardvark"
87,TRUE,"Aardvark"
103,TRUE,"Armadillo"
96,TRUE,"Armadillo"
100,TRUE,"Platypus"
101,TRUE,"Aardvark"
94,FALSE,"Armadillo"
NA,TRUE,"Armadillo"
99,TRUE,"Hedgehog"
112,FALSE,"Hedgehog"
85,TRUE,"Platypus"
106,TRUE,"Aardvark"
103,TRUE,"Aardvark"
111,TRUE,"Platypus"
97,TRUE,"Platypus"
104,TRUE,"Aardvark"
103,TRUE,"Platypus"
95,TRUE,"Aardvark"
112,TRUE,"Aardvark"
112,FALSE,"Platypus"
107,TRUE,"Hedgehog"
116,TRUE,"Aardvark"
106,TRUE,"Armadillo"
87,TRUE,"Hedgehog"
94,TRUE,"Armadillo"
88,TRUE,"Armadillo"
95,FALSE,"Aardvark"
