"item.1","item.2","item.3","item.4","item.5","item.6"
"Disagree","No Opinion","Agree","No Opinion","No Opinion","Yes"
"Agree","Agree","Agree","No Opinion","Disagree","Yes"
"Agree","No Opinion","Disagree","No Opinion","Disagree","Yes"
"Agree","Agree","Disagree","Agree","No Opinion","Yes"
"Agree","Agree","Disagree","No Opinion","No Opinion","Yes"
"No Opinion","Agree","Disagree","Disagree","No Opinion","No"
"Agree","Agree","Disagree","No Opinion","No Opinion","No"
"No Opinion","Disagree","No Opinion","Agree","No Opinion","No"
"No Opinion","Agree","Disagree","No Opinion","Disagree","Yes"
"Agree","No Opinion","Disagree","No Opinion","Disagree","No"
"No Opinion","Agree","Disagree","No Opinion","Disagree","Yes"
"No Opinion","Agree","Disagree","No Opinion","Disagree","Yes"
"No Opinion","No Opinion","Disagree","No Opinion","No Opinion","Yes"
"Agree","Agree","No Opinion","Agree","Disagree","Yes"
"Agree","Agree","No Opinion","Agree","Agree","Yes"
"No Opinion","Agree","Disagree","Agree","Disagree","Yes"
"Agree","No Opinion","Disagree","Agree","Agree","Yes"
"Agree","Agree","Disagree","Agree","Disagree","Yes"
"No Opinion","Disagree","Agree","Agree","No Opinion","No"
"No Opinion","No Opinion","Disagree","Agree","No Opinion","Yes"
"No Opinion","No Opinion","No Opinion","Agree","No Opinion","Yes"
"Agree","No Opinion","Disagree","No Opinion","Disagree","Yes"
"Disagree","No Opinion","Agree","No Opinion","No Opinion","No"
"No Opinion","No Opinion","Disagree","Disagree","Disagree","No"
"No Opinion","No Opinion","No Opinion","No Opinion","Agree","No"
"Agree","No Opinion","Disagree","Agree","Disagree","Yes"
"No Opinion","No Opinion","Disagree","Disagree","Disagree","Yes"
"Agree","No Opinion","No Opinion","Agree","Disagree","No"
"No Opinion","Agree","Agree","Disagree","Disagree","No"
"No Opinion","No Opinion","Disagree","No Opinion","Disagree","Yes"
"No Opinion","No Opinion","No Opinion","No Opinion","Disagree","Yes"
"Agree","Agree","Disagree","No Opinion","Disagree","No"
"Agree","Agree","No Opinion","Agree","Disagree","No"
"Agree","No Opinion","No Opinion","Agree","Disagree","Yes"
"Disagree","Agree","Disagree","No Opinion","Disagree","Yes"
"Disagree","Agree","Agree","Agree","Disagree","No"
"Agree","Disagree","No Opinion","Agree","Disagree","Yes"
"No Opinion","No Opinion","No Opinion","No Opinion","No Opinion","Yes"
"No Opinion","Agree","No Opinion","No Opinion","No Opinion","No"
"No Opinion","No Opinion","Disagree","Agree","Disagree","No"
"No Opinion","No Opinion","No Opinion","Agree","Agree","Yes"
"Agree","Agree","Disagree","No Opinion","Agree","Yes"
"Agree","No Opinion","Agree","Agree","Disagree","No"
"Agree","Agree","Agree","Agree","Disagree","No"
"No Opinion","No Opinion","No Opinion","No Opinion","Disagree","No"
"Agree","Disagree","Disagree","Agree","No Opinion","Yes"
"Agree","Agree","Disagree","No Opinion","Disagree","Yes"
"Agree","Disagree","Disagree","Disagree","No Opinion","Yes"
"Agree","Disagree","No Opinion","Disagree","Disagree","Yes"
"Disagree","Disagree","No Opinion","Agree","Disagree","No"
"Agree","Disagree","Disagree","No Opinion","No Opinion","Yes"
"Agree","No Opinion","Disagree","Agree","Agree","No"
"Agree","Agree","No Opinion","No Opinion","No Opinion","No"
"No Opinion","No Opinion","Disagree","No Opinion","Disagree","No"
