Year,Age,Tm,Lg,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,Pos,Awards
1967,21,KCA,AL,35,135,118,13,21,4,4,1,6,1,1,10,46,0.178,0.269,0.305,0.574,71,36,1,5,1,1,0,79/8H,
1968,22,OAK,AL,154,614,553,82,138,13,6,29,74,14,4,50,171,0.25,0.316,0.452,0.768,138,250,3,5,4,2,5,*98/H7,MVP-17
1969,23,OAK,AL,152,678,549,123,151,36,3,47,118,13,5,114,142,0.275,0.41,0.608,1.018,189,334,8,12,1,1,20,*98/H,ASMVP-5
1970,24,OAK,AL,149,514,426,57,101,21,2,23,66,26,17,75,135,0.237,0.359,0.458,0.817,127,195,10,8,2,3,11,*98H,
1971,25,OAK,AL,150,642,567,87,157,29,3,32,80,16,10,63,161,0.277,0.352,0.508,0.86,144,288,7,6,0,6,5,*9/H8,ASMVP-14
1972,26,OAK,AL,135,573,499,72,132,25,2,25,75,9,8,59,125,0.265,0.35,0.473,0.823,149,236,5,8,4,2,7,*89,ASMVP-18
1973,27,OAK,AL,151,629,539,99,158,28,2,32,117,22,8,76,111,0.293,0.383,0.531,0.914,161,286,13,7,0,7,11,*9/HD8,ASMVP-1
1974,28,OAK,AL,148,604,506,90,146,25,1,29,93,25,5,86,105,0.289,0.391,0.514,0.905,166,260,8,4,0,8,20,*9D/8H,ASMVP-4
1975,29,OAK,AL,157,669,593,91,150,39,3,36,104,17,8,67,133,0.253,0.329,0.511,0.84,137,303,10,3,0,6,5,*9/DH,ASMVP-5
1976,30,BAL,AL,134,558,498,84,138,27,2,27,91,28,7,54,108,0.277,0.351,0.502,0.853,155,250,17,4,0,2,7,*98D/H,MVP-16
1977,31,NYY,AL,146,606,525,93,150,39,2,32,110,17,3,74,129,0.286,0.375,0.55,0.925,150,289,3,3,0,4,4,*9D/H,ASMVP-8
1978,32,NYY,AL,139,581,511,82,140,13,5,27,97,14,11,58,133,0.274,0.356,0.477,0.834,136,244,8,9,0,3,2,9D/H,ASMVP-17
1979,33,NYY,AL,131,537,465,78,138,24,2,29,89,9,8,65,107,0.297,0.382,0.544,0.926,150,253,17,2,0,5,3,*9/HD,ASMVP-24
1980,34,NYY,AL,143,601,514,94,154,22,4,41,111,1,2,83,122,0.3,0.398,0.597,0.995,172,307,7,2,0,2,15,9D/H,ASMVP-2SS
1981,35,NYY,AL,94,382,334,33,79,17,1,15,54,0,3,46,82,0.237,0.33,0.428,0.758,120,143,8,1,0,1,2,9D/H,AS
1982,36,CAL,AL,153,621,530,92,146,17,1,39,101,4,5,85,156,0.275,0.375,0.532,0.907,147,282,10,2,0,4,12,*9H/D,ASMVP-6SS
1983,37,CAL,AL,116,458,397,43,77,14,1,14,49,0,2,52,140,0.194,0.29,0.34,0.63,74,135,5,4,0,5,5,D9H,AS
1984,38,CAL,AL,143,584,525,67,117,17,2,25,81,8,4,55,141,0.223,0.3,0.406,0.706,95,213,10,3,1,0,7,*D/H9,AS
1985,39,CAL,AL,143,541,460,64,116,27,0,27,85,1,2,78,138,0.252,0.36,0.487,0.847,130,224,16,1,0,2,12,9DH,
1986,40,CAL,AL,132,517,419,65,101,12,2,18,58,1,1,92,115,0.241,0.379,0.408,0.787,116,171,14,3,0,3,11,*DH/9,
1987,41,OAK,AL,115,374,336,42,74,14,1,15,43,2,1,33,97,0.22,0.297,0.402,0.699,89,135,3,4,0,1,0,DH9,
